"Gene.ID","moduleColor","GS.","p.GS."
"ENSG00000158869","blue",-0.698092106752453,5.81438823806203e-24
"ENSG00000267206","blue",-0.697879288307729,6.07967492653457e-24
"ENSG00000180353","blue",-0.697644125472964,6.38662370897065e-24
"ENSG00000181610","blue",-0.697616031010148,6.42429512668291e-24
"ENSG00000109265","blue",0.696439604262047,8.21322500711482e-24
"ENSG00000187566","blue",0.696285376478671,8.48129580376597e-24
"ENSG00000128262","blue",-0.696205361550974,8.62373397715435e-24
"ENSG00000102053","blue",0.695322556050945,1.03595617965356e-23
"ENSG00000131368","blue",-0.69531435370847,1.03771966049177e-23
"ENSG00000179300","blue",0.695177340671534,1.06761593412739e-23
"ENSG00000198001","blue",-0.694998362074333,1.10794374159459e-23
"ENSG00000143768","blue",0.694813692634792,1.15111846892507e-23
"ENSG00000154065","blue",0.69375144741589,1.43342846312749e-23
"ENSG00000172638","blue",0.693739196448748,1.43705110210696e-23
"ENSG00000149256","blue",0.692967065478794,1.68441990760523e-23
"ENSG00000174640","blue",-0.692699336810057,1.77957886426226e-23
"ENSG00000076344","blue",0.692560126038254,1.83112088143302e-23
"ENSG00000177663","blue",-0.692196710257731,1.97266845817529e-23
"ENSG00000215788","blue",0.692195941232508,1.97297907148878e-23
