"Gene.ID","moduleColor","GS.","p.GS.","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.green","p.MM.green"
"ENSG00000087263","turquoise",-0.462704252267947,8.92851510035556e-11,0.535496039134842,1.5976277505952e-14,-0.400384528617811,3.35590151193167e-08,0.308552002087736,2.93641921500774e-05
"ENSG00000148943","turquoise",-0.462448749253709,9.17139698194608e-11,0.528372057986623,4.08077732572225e-14,-0.48956855231395,4.67561689275862e-12,0.302241199208881,4.33977380289745e-05
"ENSG00000133107","turquoise",-0.462380645728585,9.23720973062434e-11,0.518790933286963,1.39207598183556e-13,-0.471230511601885,3.59938077672363e-11,0.417896634158338,7.14867379434517e-09
"ENSG00000225417","turquoise",-0.462363000167218,9.2543362736859e-11,0.501107576143872,1.21470974579582e-12,-0.425234194069002,3.64070820029125e-09,0.370605858037285,3.82143565013796e-07
"ENSG00000101247","turquoise",-0.461931839202887,9.68250894309436e-11,0.477851182103231,1.74687766704988e-11,-0.532373963690148,2.41622186101773e-14,0.378606238840011,2.03531503591512e-07
"ENSG00000173933","turquoise",-0.461894591491507,9.72038654009271e-11,0.515698139821901,2.05187143585277e-13,-0.444146054149712,5.92700781685194e-10,0.397620075052043,4.24947940331068e-08
"ENSG00000170293","turquoise",-0.461887300308062,9.72781781040629e-11,0.511357895881655,3.5135214106954e-13,-0.443540594452582,6.29262136857925e-10,0.321246863237914,1.30209469077815e-05
"ENSG00000168826","turquoise",0.461776675221691,9.84124613780591e-11,-0.465597651451755,6.57817701428827e-11,0.486718117013539,6.47285865068754e-12,-0.32132570334802,1.2953848284335e-05
"ENSG00000265683","turquoise",0.461766581572144,9.85165913825812e-11,-0.523092770706701,8.06225510846107e-14,0.430207104946343,2.28328798685031e-09,-0.298586805722256,5.41922918416487e-05
"ENSG00000267397","turquoise",-0.461625495107556,9.99833190378277e-11,0.523090444071916,8.06465390019624e-14,-0.464785658548929,7.1690900458432e-11,0.326258328154693,9.34898668312158e-06
"ENSG00000177042","turquoise",0.461614469586693,1.00098827091406e-10,-0.54065330340819,7.99120708116187e-15,0.595018639152732,2.47441066369619e-18,-0.308296867039778,2.98367983187501e-05
"ENSG00000182400","turquoise",-0.461593198318685,1.00322039487563e-10,0.532658934216514,2.32709775123374e-14,-0.425148992514067,3.6696864811128e-09,0.508923180223735,4.73519934156135e-13
"ENSG00000116679","turquoise",0.461588619728738,1.00370148475954e-10,-0.508623040318024,4.91182735479458e-13,0.461645067036603,9.97785932633735e-11,-0.263808989660477,0.000388249373385734
"ENSG00000137193","turquoise",-0.461577805868563,1.00483862601213e-10,0.500075551862214,1.37316911571501e-12,-0.463089768733991,8.57380138565082e-11,0.365574653529518,5.63052520446786e-07
"ENSG00000079337","turquoise",-0.461561395652938,1.00656664234279e-10,0.469424606393843,4.37226525466919e-11,-0.444154359926659,5.9221380524817e-10,0.217072805039152,0.00370562734365201
"ENSG00000248431","turquoise",0.461482762074979,1.01488689784411e-10,-0.505757750517145,6.95502105202998e-13,0.508880853686051,4.75972816700885e-13,-0.395298455958307,5.17271627600499e-08
"ENSG00000176054","turquoise",0.461393636181877,1.02439793994079e-10,-0.477140963678997,1.88914549380623e-11,0.404702115810764,2.31100301942802e-08,-0.303283592202766,4.07110859836861e-05
"ENSG00000254685","turquoise",-0.461347580723569,1.02934652659294e-10,0.462181742532267,9.43205371144591e-11,-0.389036180313212,8.72536904072872e-08,0.484600076143497,8.22653355788715e-12
"ENSG00000142875","turquoise",0.461321902066012,1.03211570891828e-10,-0.422688728028937,4.60934954196008e-09,0.386430315912279,1.08115841676803e-07,-0.26449129264139,0.000374455536628545
"ENSG00000145777","turquoise",-0.461226076062529,1.0425134494907e-10,0.513785746662755,2.60305534273611e-13,-0.448513786877135,3.83515512284138e-10,0.464078827856082,7.72510486510441e-11
"ENSG00000207949","turquoise",0.461209926222773,1.04427577772108e-10,-0.521337461539129,1.0084383421434e-13,0.521420242919264,9.97879796874467e-14,-0.281001261029021,0.000151489287887718
"ENSG00000187866","turquoise",-0.461069221310204,1.05975264087641e-10,0.548730626199001,2.6360137124939e-15,-0.484346060087982,8.46556874956921e-12,0.461625318840617,9.99851646689229e-11
"ENSG00000185261","turquoise",-0.460924360251125,1.07591880972829e-10,0.464999455152817,7.0086942422075e-11,-0.366888370545424,5.09181922478182e-07,0.473232724823381,2.89725853083409e-11
"ENSG00000186017","turquoise",-0.460858919474698,1.08329997570004e-10,0.557542118820331,7.59484373108157e-16,-0.509051591379643,4.66153371290298e-13,0.247264685693673,0.000906611341090459
"ENSG00000132681","turquoise",0.460835192637899,1.08598826381083e-10,-0.504478663010943,8.11478643102637e-13,0.43413126643235,1.57158255739577e-09,-0.319405450886847,1.46848707108013e-05
"ENSG00000090661","turquoise",0.460810315815043,1.08881378903384e-10,-0.469603075189908,4.28923499941756e-11,0.484133707963432,8.67056220419459e-12,-0.348499210737573,1.99919331765765e-06
"ENSG00000139132","turquoise",-0.460799386563538,1.09005739145472e-10,0.506146384781503,6.63578873396898e-13,-0.398327764004693,4.001090255268e-08,0.528236260268369,4.1534967930591e-14
"ENSG00000243024","turquoise",0.460719687395826,1.09916779640723e-10,-0.474454869454551,2.53607666415787e-11,0.496080387640939,2.19884985203937e-12,-0.227654584385853,0.00230826336338118
"ENSG00000163848","turquoise",-0.460709419618334,1.1003468567441e-10,0.519843743025579,1.21876140403825e-13,-0.441782758668337,7.48200083957398e-10,0.55767166522913,7.45511128938817e-16
"ENSG00000136122","turquoise",-0.460679565980621,1.10378194939478e-10,0.530650740120896,3.03048210818228e-14,-0.46166820797013,9.95370591778573e-11,0.414173505927405,1.00057886575402e-08
"ENSG00000196678","turquoise",0.460618741695411,1.11081284593161e-10,-0.470855152210946,3.74824038882628e-11,0.376221122288416,2.46017927687182e-07,-0.18118697267572,0.0158015557354453
"ENSG00000101166","turquoise",-0.460568859109829,1.11661132386105e-10,0.59031099933217,5.29271005783193e-18,-0.571864055750225,9.2748061774272e-17,0.358864691127373,9.34593199030968e-07
"ENSG00000114646","turquoise",0.460531068390753,1.12102372881577e-10,-0.508574996827693,4.94068925914947e-13,0.444567657145239,5.68464484616831e-10,-0.360648946270245,8.17693853535473e-07
"ENSG00000091317","turquoise",-0.460474305603415,1.12768305616908e-10,0.530884075252675,2.93916385781865e-14,-0.373114006929471,3.14226598214714e-07,0.423781079213345,4.1665554321023e-09
"ENSG00000164182","turquoise",-0.460444123112886,1.13123961574746e-10,0.478783614277365,1.5758028918906e-11,-0.495484541260543,2.35756769343868e-12,0.344485601857876,2.66442175212209e-06
